algo,value,runtime_s,nodes_generated,nodes_explored,pruning_ratio,first_opt_node,memory_peak_mb,opt_known,opt_value,opt_time_s,correct,capacity,n,sum_w,timeout,error,class,sample,seed
bb_enhanced,904,0.0014479000092251226,82,82,0.0,67,0.0047760009765625,True,904,0.0014196999982232228,True,500,30,1752,False,,Uncorrelated,14,9019410
bb_basic,1003,0.0004507999983616173,68,68,0.0,31,0.0023040771484375,True,1003,0.0015294000040739775,True,500,30,1558,False,,Uncorrelated,15,9084947
bb_enhanced,1003,0.001711399992927909,57,57,0.0,40,0.005642890930175781,True,1003,0.0015294000040739775,True,500,30,1558,False,,Uncorrelated,15,9084947
bb_basic,931,0.00035999999090563506,46,46,0.0,31,0.002044677734375,True,931,0.0016450999974040315,True,500,30,1508,False,,Uncorrelated,16,9150484
bb_enhanced,931,0.0010826999932760373,46,46,0.0,31,0.00482177734375,True,931,0.0016450999974040315,True,500,30,1508,False,,Uncorrelated,16,9150484
bb_basic,978,0.0003880000003846362,47,47,0.0,31,0.0022735595703125,True,978,0.001563400001032278,True,500,30,1384,False,,Uncorrelated,17,9216021
bb_enhanced,978,0.0011874000047100708,47,47,0.0,31,0.0052337646484375,True,978,0.001563400001032278,True,500,30,1384,False,,Uncorrelated,17,9216021
bb_basic,1053,0.00043489999370649457,65,65,0.0,31,0.00254058837890625,True,1053,0.0016627000004518777,True,500,30,1276,False,,Uncorrelated,18,9281558
bb_enhanced,1053,0.0015426999889314175,65,65,0.0,43,0.0070953369140625,True,1053,0.0016627000004518777,True,500,30,1276,False,,Uncorrelated,18,9281558
bb_basic,1329,0.0003887999919243157,48,48,0.0,31,0.00251007080078125,True,1329,0.0015882999869063497,True,500,30,1351,False,,Uncorrelated,19,9347095
bb_enhanced,1329,0.0011605000036070123,48,48,0.0,31,0.00556182861328125,True,1329,0.0015882999869063497,True,500,30,1351,False,,Uncorrelated,19,9347095
bb_basic,467,0.0005646000063279644,31,31,0.0,16,0.0017242431640625,True,467,0.000872199991135858,True,500,15,460,False,,WeaklyCorr,0,1258107
bb_enhanced,467,0.0007214000070234761,31,31,0.0,16,0.00440216064453125,True,467,0.000872199991135858,True,500,15,460,False,,WeaklyCorr,0,1258107
bb_basic,540,0.00036580000596586615,75,75,0.0,16,0.001068115234375,True,540,0.0007207000016933307,True,500,15,854,False,,WeaklyCorr,1,1323644
bb_enhanced,540,0.001221300000906922,65,65,0.0,48,0.00531005859375,True,540,0.0007207000016933307,True,500,15,854,False,,WeaklyCorr,1,1323644
bb_basic,533,0.0008315000013681129,151,151,0.0,16,0.00148773193359375,True,533,0.0008895000064512715,True,500,15,656,False,,WeaklyCorr,2,1389181
bb_enhanced,533,0.002827200005413033,121,121,0.0,74,0.01369476318359375,True,533,0.0008895000064512715,True,500,15,656,False,,WeaklyCorr,2,1389181
bb_basic,527,0.0003020000003743917,55,55,0.0,16,0.00141143798828125,True,527,0.000802999988081865,True,500,15,719,False,,WeaklyCorr,3,1454718
bb_enhanced,527,0.0006183000077726319,30,30,0.0,18,0.00372314453125,True,527,0.000802999988081865,True,500,15,719,False,,WeaklyCorr,3,1454718
bb_basic,521,0.0002533999941078946,45,45,0.0,16,0.0012664794921875,True,521,0.0008178999996744096,True,500,15,700,False,,WeaklyCorr,4,1520255
bb_enhanced,521,0.0009181999921565875,47,47,0.0,31,0.0045623779296875,True,521,0.0008178999996744096,True,500,15,700,False,,WeaklyCorr,4,1520255
bb_basic,527,0.0004714999959105626,93,93,0.0,16,0.00115203857421875,True,527,0.0007776000129524618,True,500,15,829,False,,WeaklyCorr,5,1585792
bb_enhanced,527,0.001550200002384372,88,88,0.0,63,0.0069580078125,True,527,0.0007776000129524618,True,500,15,829,False,,WeaklyCorr,5,1585792
bb_basic,535,0.0012252000014996156,195,195,0.0,16,0.0010986328125,True,535,0.0008171999943442643,True,500,15,906,False,,WeaklyCorr,6,1651329
